MSW05_Binomial,5-1_AdultBodyMass_g,9-1_GestationLen_d,14-1_InterbirthInterval_d,15-1_LitterSize,17-1_MaxLongevity_m,23-1_SexualMaturityAge_d,24-1_TeatNumber,25-1_WeaningAge_d,6-1_DietBreadth,6-2_TrophicLevel,1-1_ActivityCycle,26-1_GR_Area_km2,21-1_PopulationDensity_n/km2
Histriophoca fasciata,90000.0,299.18,365.0,1.0,372.0,1262.74,-999,24.5,6.0,2,-999.0,-999.0,-999.0
Hodomys alleni,367.59,-999.0,-999.0,1.39,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,215347.16,-999.0
Holochilus brasiliensis,155.0,28.4,-999.0,3.88,-999.0,89.63,-999,21.0,1.0,1,-999.0,1618556.23,-999.0
Holochilus chacarius,204.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,2.0,1,2.0,323383.6,-999.0
Holochilus sciureus,120.42,-999.0,-999.0,3.12,-999.0,-999.0,-999,-999.0,3.0,2,2.0,6661497.75,-999.0
Homo sapiens,58540.63,274.78,958.12,1.0,1470.0,5582.93,-999,725.86,-999.0,-999,3.0,-999.0,-999.0
Hoplomys gymnurus,281.42,59.99,-999.0,2.1,-999.0,-999.0,-999,20.88,2.0,1,1.0,404762.49,-999.0
Hyaena brunnea,42977.93,95.8,532.29,2.3,204.0,807.23,4,302.44,6.0,2,1.0,1981470.71,0.01
Hyaena hyaena,35070.51,90.5,237.25,2.44,288.0,928.08,4,118.93,6.0,2,2.0,24254343.2,-999.0
Hybomys badius,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,15939.64,-999.0
Hybomys basilii,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,1953.16,-999.0
Hybomys lunaris,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,281862.7,-999.0
Hybomys planifrons,49.6,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,123523.72,-999.0
Hybomys trivirgatus,60.08,-999.0,-999.0,2.72,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,362389.12,80.6
Hybomys univittatus,54.46,30.0,-999.0,2.3,-999.0,71.43,-999,-999.0,-999.0,-999,3.0,2497651.36,-999.0
Hydrictis maculicollis,4180.53,59.6,365.0,2.0,-999.0,841.82,4,60.48,1.0,3,2.0,11363947.46,-999.0
Hydrochoerus hydrochaeris,48144.91,150.73,-999.0,3.49,144.0,566.36,11,109.75,5.0,1,2.0,12726191.09,125.34
Hydrochoerus isthmius,21267.32,108.21,-999.0,4.99,-999.0,-999.0,-999,112.0,-999.0,-999,-999.0,307442.57,-999.0
