MSW05_Binomial,5-1_AdultBodyMass_g,9-1_GestationLen_d,14-1_InterbirthInterval_d,15-1_LitterSize,17-1_MaxLongevity_m,23-1_SexualMaturityAge_d,24-1_TeatNumber,25-1_WeaningAge_d,6-1_DietBreadth,6-2_TrophicLevel,1-1_ActivityCycle,26-1_GR_Area_km2,21-1_PopulationDensity_n/km2
Nycticeius humeralis,9.12,-999.0,-999.0,1.94,60.0,-999.0,-999,28.28,-999.0,-999,-999.0,2889477.8,-999.0
Nyctiellus lepidus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,1.0,3,-999.0,66549.07,-999.0
Nyctimene aello,85.26,-999.0,-999.0,0.98,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,390567.59,-999.0
Nyctimene albiventer,29.95,-999.0,-999.0,0.98,-999.0,-999.0,-999,-999.0,1.0,1,-999.0,527482.57,-999.0
Nyctimene cephalotes,44.92,-999.0,-999.0,0.98,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,251382.79,-999.0
Nyctimene certans,43.24,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,122392.34,-999.0
Nyctimene cyclotis,48.83,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,259281.47,-999.0
Nyctimene draconilla,30.15,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,3.0,2,-999.0,78720.86,-999.0
Nyctimene keasti,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,4955.44,-999.0
Nyctimene major,107.06,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,36810.07,-999.0
Nyctimene malaitensis,78.39,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,3870.66,-999.0
Nyctimene masalai,53.2,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,7066.71,-999.0
Nyctimene minutus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,199965.79,-999.0
Nyctimene rabori,68.25,138.16,-999.0,1.0,-999.0,295.82,-999,105.0,1.0,1,-999.0,17815.16,30.0
Nyctimene robinsoni,48.83,-999.0,-999.0,0.99,-999.0,-999.0,-999,-999.0,1.0,1,-999.0,351920.41,-999.0
Nyctimene sanctacrucis,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,504.81,-999.0
Nyctimene vizcaccia,41.96,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,33659.02,-999.0
Nyctinomops aurispinosus,18.43,-999.0,-999.0,1.0,-999.0,-999.0,-999,-999.0,1.0,3,-999.0,12349250.02,-999.0
Nyctinomops femorosaccus,15.04,-999.0,-999.0,0.99,-999.0,-999.0,-999,-999.0,1.0,3,-999.0,1257778.48,-999.0
Nyctinomops laticaudatus,13.12,-999.0,-999.0,0.99,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,13392624.04,-999.0
Nyctinomops macrotis,16.38,-999.0,-999.0,0.99,-999.0,-999.0,-999,-999.0,1.0,3,-999.0,18149920.2,-999.0
Nyctomys sumichrasti,59.99,33.98,38.0,2.0,62.4,-999.0,-999,24.85,6.0,1,1.0,635794.61,-999.0
Nyctophilus arnhemensis,6.83,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,794833.68,-999.0
Nyctophilus bifax,9.89,-999.0,-999.0,2.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,1481223.75,-999.0
Nyctophilus geoffroyi,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,7277323.77,-999.0
Nyctophilus gouldi,11.32,22.94,-999.0,1.54,-999.0,326.81,-999,44.34,1.0,3,-999.0,880409.98,-999.0
Nyctophilus heran,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,1261.04,-999.0
Nyctophilus howensis,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Nyctophilus microdon,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,11958.72,-999.0
Nyctophilus microtis,7.29,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,284169.97,-999.0
Ochotona rufescens,250.0,25.75,-999.0,6.05,-999.0,61.02,-999,19.09,-999.0,-999,3.0,1022901.97,5999.99
Ochotona rutila,-999.0,-999.0,-999.0,4.1,-999.0,377.57,-999,-999.0,2.0,1,-999.0,271593.43,726.63
Ochotona thibetana,-999.0,-999.0,-999.0,2.93,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,919072.95,-999.0
Ochotona thomasi,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,340281.03,-999.0
Ochotona turuchanensis,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Ochrotomys nuttalli,22.81,29.1,25.9,2.62,30.0,-999.0,6,20.84,3.0,2,2.0,1448050.54,302.33
Octodon bridgesi,162.25,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,3.0,1,3.0,102723.41,-999.0
Octodon degus,203.27,90.59,-999.0,5.31,85.2,187.19,8,31.12,7.0,2,2.0,64949.08,1166.23
Octodon lunatus,200.55,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,2.0,1,-999.0,32534.97,-999.0
Octodon pacificus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Octodontomys gliroides,155.77,104.5,-999.0,2.04,88.0,-999.0,6,-999.0,2.0,1,1.0,396551.36,-999.0
Octomys mimax,124.43,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,2.0,1,1.0,54799.69,-999.0
Odobenus rosmarus,1042996.25,357.39,821.25,1.22,480.0,2315.02,-999,591.36,6.0,2,2.0,-999.0,1.27
Odocoileus hemionus,84560.57,203.49,365.0,1.61,264.0,527.12,-999,73.49,2.0,1,-999.0,6310738.18,16.0
Odocoileus virginianus,75901.25,201.39,304.16,1.57,276.0,365.0,4,79.92,4.0,1,2.0,14446002.22,17.32
Oecomys auyantepui,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Oecomys bicolor,40.74,-999.0,-999.0,3.15,-999.0,92.8,-999,-999.0,2.0,1,1.0,7578892.12,44.46
Oecomys catherinae,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Oecomys cleberi,73.4,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,5781.47,-999.0
Onychomys leucogaster,27.92,31.63,31.5,3.84,60.0,107.71,6,22.82,4.0,2,1.0,3797199.74,-999.0
Onychomys torridus,21.68,28.37,29.7,3.3,55.2,56.02,-999,19.86,1.0,3,1.0,769659.21,158.55
Orcaella brevirostris,189999.99,425.83,-999.0,1.0,-999.0,-999.0,-999,-999.0,1.0,3,-999.0,-999.0,37.36
Orcinus orca,5628758.66,456.25,1825.0,1.0,1200.0,4989.76,-999,415.76,2.0,3,-999.0,-999.0,-999.0
Oreamnos americanus,72105.4,181.24,365.0,1.4,230.04,964.59,4,84.86,2.0,1,2.0,1137827.98,-999.0
Oreonax flavicauda,8229.12,225.0,-999.0,1.0,-999.0,1683.65,-999,-999.0,4.0,1,3.0,33168.59,6.46
Oreotragus oreotragus,13486.55,214.0,365.0,0.98,213.96,371.23,4,136.87,4.0,1,2.0,5375303.33,2.62
Ornithorhynchus anatinus,1484.25,12.48,365.0,2.0,264.0,742.46,-999,120.97,1.0,3,2.0,547828.42,-999.0
Orthogeomys cavator,650.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,3.0,1,-999.0,767.26,-999.0
Orthogeomys cherriei,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,3.0,1,-999.0,6002.72,-999.0
Orthogeomys cuniculus,499.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,3.0,1,1.0,609.71,-999.0
Orthogeomys dariensis,437.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,3.0,1,-999.0,30081.13,-999.0
Orthogeomys grandis,499.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,3.0,1,-999.0,152714.59,-999.0
Orthogeomys heterodus,615.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,3.0,1,-999.0,1199.44,-999.0
Orthogeomys hispidus,499.99,-999.0,-999.0,1.97,-999.0,-999.0,-999,-999.0,3.0,1,-999.0,399397.84,-999.0
Orthogeomys lanius,499.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,3.0,1,1.0,197.18,-999.0
Orthogeomys matagalpae,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,3.0,1,-999.0,3002.2,-999.0
Orthogeomys thaeleri,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,3.0,1,-999.0,50.46,-999.0
Orthogeomys underwoodi,250.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,3.0,1,-999.0,4894.08,-999.0
Orycteropus afer,56175.2,222.05,-999.0,1.1,288.0,755.15,4,40.92,1.0,3,1.0,18035652.33,-999.0
Oryctolagus cuniculus,1590.57,30.45,29.0,5.24,216.0,185.61,-999,26.3,2.0,1,2.0,2293893.27,357.9
Oryx beisa,200576.52,-999.0,-999.0,-999.0,240.0,-999.0,4,-999.0,-999.0,-999,-999.0,1255430.97,1.38
Oryx dammah,199798.95,248.0,-999.0,1.0,245.04,-999.0,4,-999.0,5.0,1,-999.0,214297.23,-999.0
Oryx gazella,188404.45,273.75,-999.0,1.0,240.0,841.82,4,-999.0,5.0,1,2.0,4613581.92,9.88
Oryx leucoryx,75788.24,239.99,-999.0,1.0,240.0,-999.0,-999,58.46,5.0,1,-999.0,-999.0,-999.0
Oryzomys albigularis,60.5,-999.0,-999.0,3.4,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,307051.75,-999.0
Oryzomys alfaroi,33.3,-999.0,-999.0,3.59,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,846631.39,-999.0
Oryzomys angouya,120.17,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,1166871.44,-999.0
Oryzomys auriventer,60.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,11759.41,-999.0
Oryzomys balneator,60.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,48034.34,-999.0
Oryzomys bolivaris,60.5,-999.0,-999.0,3.23,-999.0,-999.0,-999,-999.0,3.0,2,1.0,333553.36,-999.0
Oryzomys caracolus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Oryzomys chapmani,49.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,140377.69,-999.0
Oryzomys couesi,69.29,-999.0,-999.0,3.63,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,1396062.11,221.39
Oryzomys seuanezi,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Oryzomys subflavus,49.91,-999.0,-999.0,4.37,-999.0,-999.0,-999,28.0,2.0,1,-999.0,2458840.81,88.57
Oryzomys talamancae,54.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,3.0,2,1.0,380181.6,-999.0
Oryzomys tatei,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Oryzomys xanthaeolus,79.79,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,317397.1,-999.0
Oryzomys yunganus,60.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,5333191.6,-999.0
Oryzorictes hova,35.74,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,1.0,48829.19,-999.0
Oryzorictes tetradactylus,35.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,1.0,13130.86,-999.0
Osgoodomys banderanus,49.99,-999.0,-999.0,1.68,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,180754.44,504.14
Otaria flavescens,193670.53,311.55,365.0,1.0,297.6,1860.83,-999,363.96,6.0,2,-999.0,-999.0,-999.0
Otocyon megalotis,4098.12,67.54,182.5,4.0,165.6,420.91,4,42.46,1.0,3,2.0,5001822.67,1.18
Otolemur crassicaudatus,1206.61,131.04,365.0,1.14,225.6,609.86,-999,124.62,5.0,2,1.0,4121059.44,87.99
Otolemur garnettii,811.17,132.24,215.95,1.02,204.0,592.15,-999,139.2,3.0,2,-999.0,781284.4,38.0
Otolemur monteiri,1577.16,-999.0,-999.0,2.1,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,2353122.58,-999.0
Otomops formosus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,1.0,3,-999.0,126776.2,-999.0
Otomops johnstonei,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,13.1,-999.0
Otomops madagascariensis,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,215525.86,-999.0
Otomops martiensseni,34.92,92.54,-999.0,0.99,-999.0,371.23,-999,-999.0,2.0,2,-999.0,6798311.47,-999.0
Otomops papuensis,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,24515.96,-999.0
Otomops secundus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,43995.0,-999.0
Otomops wroughtoni,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999,-999.0,1.0,3,-999.0,64.59,-999.0
Otomys anchietae,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,478210.33,-999.0
Otomys angoniensis,100.64,-999.0,-999.0,2.86,-999.0,59.86,4,15.9,2.0,1,2.0,2273967.96,2630.74
Otomys barbouri,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Otomys burtoni,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,14149.86,-999.0
Otomys cuanzensis,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Otomys dartmouthi,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,29038.99,-999.0
Otomys denti,120.0,-999.0,-999.0,1.59,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,172854.74,-999.0
Otomys dollmani,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Otomys irroratus,114.45,40.52,-999.0,1.65,-999.0,113.59,4,12.96,2.0,1,2.0,788942.43,3004.04
Otomys jacksoni,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Otomys lacustris,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,134274.66,-999.0
Otomys laminatus,150.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,128843.81,-999.0
Otomys maximus,192.0,-999.0,-999.0,3.7,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,525387.84,-999.0
Otomys occidentalis,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,7267.08,-999.0
Otomys orestes,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Otomys saundersiae,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,147404.77,-999.0
Otomys tropicalis,-999.0,-999.0,-999.0,1.29,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,216009.05,-999.0
Otomys typus,-999.0,-999.0,-999.0,1.7,-999.0,91.24,-999,-999.0,-999.0,-999,-999.0,151160.23,-999.0
Otomys uzungwensis,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,29398.92,-999.0
Otonycteris hemprichii,21.98,-999.0,-999.0,1.38,-999.0,-999.0,-999,-999.0,2.0,3,-999.0,2428735.89,-999.0
Otonyctomys hatti,36.2,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,111895.25,-999.0
Otopteropus cartilagonodus,16.92,-999.0,-999.0,0.99,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,36.68,-999.0
Ototylomys phyllotis,86.94,52.74,-999.0,2.2,-999.0,28.18,4,67.72,3.0,1,1.0,502791.46,-999.0
Ourebia ourebi,17186.09,210.5,182.5,0.98,189.96,372.09,4,136.87,3.0,1,3.0,8258056.75,2.43
Ovibos moschatus,312500.0,256.26,547.5,1.01,288.0,1262.74,4,254.48,2.0,1,-999.0,1615605.88,0.31
Ovis ammon,113998.72,165.0,365.0,1.22,180.96,555.47,-999,76.61,2.0,1,-999.0,10939816.94,0.02
Ovis aries,39097.89,152.54,365.0,1.19,230.04,831.62,-999,182.5,2.0,1,-999.0,-999.0,-999.0
Ovis canadensis,74644.87,177.49,365.0,1.16,288.0,761.25,2,130.8,2.0,1,2.0,2457850.19,1.48
Ovis dalli,70194.13,172.49,365.0,1.22,192.0,748.37,2,121.66,2.0,1,-999.0,1014237.16,-999.0
Ovis nivicola,90000.0,-999.0,-999.0,1.0,-999.0,841.82,-999,-999.0,-999.0,-999,-999.0,1645753.65,-999.0
Oxymycterus akodontius,67.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,32016.42,-999.0
Oxymycterus amazonicus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Oxymycterus angularis,67.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,1.0,3,-999.0,459009.16,-999.0
Oxymycterus caparoae,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Oxymycterus dasytrichus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Oxymycterus delator,81.49,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,37329.03,-999.0
Oxymycterus hiska,67.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,1.0,3,-999.0,8134.63,-999.0
Oxymycterus hispidus,36.75,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,1.0,3,-999.0,890655.72,-999.0
Oxymycterus hucucha,67.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,1.0,3,-999.0,7184.44,-999.0
Oxymycterus inca,34.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,1.0,3,-999.0,463452.89,-999.0
Oxymycterus josei,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Oxymycterus nasutus,67.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,1.0,3,-999.0,620356.18,-999.0
Oxymycterus paramensis,41.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,1.0,3,-999.0,250661.84,-999.0
Oxymycterus quaestor,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Oxymycterus roberti,83.71,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,1.0,3,-999.0,993777.99,266.61
Oxymycterus rufus,82.01,-999.0,-999.0,2.51,31.2,90.76,-999,13.94,2.0,2,2.0,-999.0,549.17
Ozotoceros bezoarticus,34620.4,220.38,317.08,1.0,-999.0,350.76,-999,362.93,3.0,1,-999.0,3649669.28,-999.0
Pachyuromys duprasi,47.5,20.4,-999.0,3.49,52.8,55.44,-999,33.62,-999.0,-999,-999.0,1991861.84,-999.0
Pagophilus groenlandicus,132250.0,242.9,365.0,1.0,504.0,1862.3,-999,11.45,6.0,2,-999.0,-999.0,0.09
Paguma larvata,4300.0,-999.0,182.5,2.16,216.0,-999.0,4,109.13,6.0,2,1.0,5422715.54,-999.0
Palawanomys furvus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,318.13,-999.0
Pan paniscus,35119.95,235.24,1715.5,1.01,576.0,5465.72,-999,1081.31,6.0,2,3.0,412936.11,2.0
Pan troglodytes,45000.0,231.49,1825.0,1.05,720.0,3897.96,2,1260.81,6.0,2,3.0,1898947.6,1.63
Panthera leo,158623.93,108.74,730.0,2.75,360.0,987.77,4,197.86,1.0,3,1.0,11237685.34,0.11
Panthera onca,83943.09,102.49,365.0,1.96,276.0,1184.16,-999,156.6,1.0,3,2.0,10500825.25,0.05
Panthera pardus,52399.99,96.74,476.37,2.14,276.0,810.68,4,123.54,1.0,3,2.0,29348601.36,0.07
Panthera tigris,161914.66,105.19,821.25,2.6,315.6,1522.5,-999,118.55,1.0,3,1.0,2494993.45,0.03
Phocoena dioptrica,65000.0,-999.0,-999.0,0.97,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Phocoena phocoena,52730.93,333.28,365.0,0.98,180.0,1353.82,-999,258.09,2.0,3,-999.0,-999.0,0.03
Phocoena sinus,43121.43,-999.0,-999.0,0.97,-999.0,-999.0,-999,-999.0,2.0,3,-999.0,-999.0,-999.0
Phocoena spinipinnis,59999.99,-999.0,-999.0,0.97,-999.0,-999.0,-999,-999.0,2.0,3,-999.0,-999.0,-999.0
Phocoenoides dalli,106042.53,346.74,730.0,0.98,264.0,2672.83,-999,91.24,2.0,3,-999.0,-999.0,-999.0
Phodopus campbelli,27.06,20.59,-999.0,8.47,21.5,46.47,-999,-999.0,-999.0,-999,2.0,2048011.87,20.0
Phodopus roborovskii,-999.0,21.9,-999.0,6.28,-999.0,21.35,8,-999.0,3.0,2,-999.0,2913959.5,275.0
Phodopus sungorus,30.43,21.0,24.0,5.48,38.4,-999.0,-999,20.0,3.0,2,2.0,647778.72,59.99
Phoniscus aerosa,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Phoniscus atrox,4.81,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,118977.9,-999.0
Phoniscus jagorii,4.7,125.14,-999.0,1.0,-999.0,-999.0,-999,83.7,-999.0,-999,-999.0,134207.3,-999.0
Phoniscus papuensis,6.32,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,379532.97,-999.0
Phylloderma stenops,55.82,-999.0,-999.0,0.98,-999.0,-999.0,-999,-999.0,2.0,2,-999.0,10120814.01,-999.0
Phyllomys blainvillii,243.3,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,1.0,167672.41,-999.0
Phyllomys brasiliensis,312.49,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,1.0,148527.87,-999.0
Phyllomys dasythrix,260.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,1.0,276503.46,-999.0
Pantholops hodgsonii,32733.12,212.91,365.0,1.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,1113531.45,-999.0
Papagomys armandvillei,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,14026.28,-999.0
Papagomys theodorverhoeveni,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Papio anubis,17728.56,178.96,752.81,1.01,302.4,-999.0,-999,596.6,-999.0,-999,3.0,5597000.95,10.8
Papio cynocephalus,15822.15,172.99,669.16,1.01,540.0,2560.56,-999,450.42,2.0,1,3.0,3953480.36,5.86
Papio hamadryas,14007.08,180.0,608.33,1.01,450.0,1652.37,-999,363.96,2.0,1,3.0,639689.34,2.1
Papio papio,18026.05,184.42,423.4,1.01,480.0,-999.0,-999,-999.0,-999.0,-999,3.0,205349.12,11.07
Papio ursinus,17729.44,185.92,882.08,1.01,540.0,1543.35,-999,877.09,2.0,1,3.0,2566298.35,2.77
Pappogeomys alcorni,150.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,3.0,1,-999.0,1519.92,-999.0
Pappogeomys bulleri,150.0,-999.0,-999.0,0.97,-999.0,-999.0,-999,-999.0,3.0,1,-999.0,35746.47,-999.0
Paracoelops megalotis,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,1.0,3,-999.0,17.09,-999.0
Paracrocidura graueri,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,716.16,-999.0
Paracrocidura maxima,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,14075.87,-999.0
Paracrocidura schoutedeni,12.18,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,458097.1,-999.0
Paracynictis selousi,1669.72,-999.0,-999.0,2.0,-999.0,-999.0,-999,-999.0,1.0,3,1.0,2095494.67,-999.0
Paradipus ctenodactylus,-999.0,-999.0,-999.0,3.4,-999.0,-999.0,-999,-999.0,6.0,1,1.0,602184.96,-999.0
Paradoxurus hermaphroditus,3200.0,61.27,182.5,3.29,269.0,397.85,6,-999.0,6.0,2,1.0,7074837.93,-999.0
Paradoxurus jerdoni,3530.33,-999.0,-999.0,3.0,144.0,-999.0,-999,-999.0,6.0,2,1.0,14283.81,-999.0
Paradoxurus zeylonensis,2821.3,-999.0,-999.0,2.5,-999.0,-999.0,-999,-999.0,6.0,2,1.0,5405.27,-999.0
Paraechinus aethiopicus,352.4,36.7,-999.0,3.49,54.0,-999.0,-999,67.27,2.0,3,1.0,13229917.82,-999.0
Paraechinus hypomelas,213.0,-999.0,-999.0,3.74,-999.0,-999.0,-999,-999.0,3.0,2,1.0,2411438.0,-999.0
Paraechinus micropus,171.0,37.0,-999.0,4.0,-999.0,-999.0,-999,45.05,2.0,3,1.0,344515.33,-999.0
Paraechinus nudiventris,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,2.0,3,-999.0,169687.97,-999.0
Parahydromys asper,526.66,-999.0,-999.0,-999.0,-999.0,-999.0,4,-999.0,2.0,2,-999.0,153393.15,-999.0
Paraleptomys rufilatus,54.99,-999.0,-999.0,-999.0,-999.0,-999.0,4,-999.0,-999.0,-999,2.0,700.58,-999.0
