Species1,Beak.Length_Culmen,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Range.Size
Pomarea mira,21.6,5.6,6.0,27.7,103.9,21.2,29.6,Forest,1,1.0,Carnivore,Invertivore,Insessorial,
Pomarea nigra,19.3,5.8,4.9,27.6,90.1,18.3,25.4,Forest,1,1.0,Carnivore,Invertivore,Insessorial,27.52
Pomarea whitneyi,24.7,6.4,6.4,32.4,112.1,23.9,42.5,Forest,1,1.0,Carnivore,Invertivore,Insessorial,4.03
Symposiachrus ateralbus,16.9,4.8,5.0,19.0,84.6,15.4,21.7,Forest,1,1.0,Carnivore,Invertivore,Insessorial,112.06
Symposiachrus axillaris,14.5,4.9,4.4,19.0,77.6,12.8,15.6,Forest,1,1.0,Carnivore,Invertivore,Insessorial,118942.75
Symposiachrus barbatus,15.9,4.6,4.5,18.5,80.4,11.0,21.0,Forest,1,1.0,Carnivore,Invertivore,Insessorial,21960.62
Symposiachrus boanensis,18.0,5.9,4.5,23.8,81.0,12.0,17.5,Forest,1,1.0,Carnivore,Invertivore,Insessorial,13.87
Symposiachrus brehmii,17.9,5.9,4.4,19.5,75.0,8.0,41.0,Forest,1,1.0,Carnivore,Invertivore,Insessorial,2524.27
Symposiachrus browni,18.6,5.9,5.3,21.4,84.3,13.6,16.4,Forest,1,1.0,Carnivore,Invertivore,Insessorial,4635.15
Symposiachrus everetti,15.4,4.7,4.0,18.6,68.8,9.3,16.4,Forest,2,1.0,Carnivore,Invertivore,Insessorial,170.57
Symposiachrus guttula,16.5,5.1,4.6,17.6,79.0,14.0,16.4,Forest,1,1.0,Carnivore,Invertivore,Insessorial,657660.08
Symposiachrus infelix,17.5,5.6,5.1,20.1,82.8,16.6,16.4,Forest,2,1.0,Carnivore,Invertivore,Insessorial,2025.05
Symposiachrus julianae,17.1,5.6,5.1,18.5,82.6,14.5,16.4,Forest,1,1.0,Carnivore,Invertivore,Insessorial,143.74
Symposiachrus leucurus,17.1,5.7,4.7,18.2,77.6,14.2,16.4,Forest,2,1.0,Carnivore,Invertivore,Insessorial,1111.79
Symposiachrus loricatus,17.8,4.9,4.7,20.1,86.6,15.0,27.3,Forest,2,1.0,Carnivore,Invertivore,Insessorial,7963.84
Symposiachrus malaitae,17.8,5.9,4.7,21.1,84.8,13.5,21.0,Forest,1,1.0,Carnivore,Invertivore,Insessorial,4330.72
Symposiachrus manadensis,16.6,5.3,4.5,17.6,84.1,14.5,22.5,Forest,1,1.0,Carnivore,Invertivore,Insessorial,445281.04
Symposiachrus menckei,16.3,5.6,4.2,20.0,70.3,12.1,16.4,Forest,2,1.0,Carnivore,Invertivore,Insessorial,239.41
Symposiachrus mundus,19.9,4.5,5.1,20.9,80.9,14.0,27.3,Forest,1,1.0,Carnivore,Invertivore,Insessorial,4617.6
Symposiachrus rubiensis,19.3,6.3,5.3,19.4,95.0,15.8,27.3,Forest,1,1.0,Carnivore,Invertivore,Insessorial,243646.73
Symposiachrus sacerdotum,15.9,5.9,4.3,19.6,72.0,11.0,37.0,Forest,1,1.0,Carnivore,Invertivore,Insessorial,696.22
Symposiachrus trivirgatus,15.8,4.9,4.2,18.1,72.6,12.2,12.7,Forest,1,1.0,Carnivore,Invertivore,Insessorial,545399.69
Symposiachrus verticalis,16.9,4.8,5.0,19.0,84.6,15.4,21.7,Forest,1,1.0,Carnivore,Invertivore,Insessorial,42001.39
Symposiachrus vidua,16.3,5.4,4.2,20.7,75.7,12.6,17.09,Forest,1,1.0,Carnivore,Invertivore,Insessorial,3376.33
Terpsiphone affinis,21.4,7.8,6.4,16.9,91.3,18.3,19.23,Woodland,2,2.0,Carnivore,Invertivore,Insessorial,3589589.39
Terpsiphone atrocaudata,19.5,6.8,5.1,15.8,91.6,21.9,18.7,Forest,2,3.0,Carnivore,Invertivore,Insessorial,390211.35
Terpsiphone atrochalybeia,17.7,6.2,4.2,19.9,80.2,17.7,12.2,Forest,2,1.0,Carnivore,Invertivore,Insessorial,858.51
Terpsiphone batesi,18.4,6.2,4.5,15.8,74.5,10.7,15.4,Shrubland,1,1.0,Carnivore,Invertivore,Insessorial,2301604.71
Terpsiphone bedfordi,19.1,6.2,4.4,16.0,75.2,11.5,15.43,Forest,1,1.0,Carnivore,Invertivore,Insessorial,42552.86
Terpsiphone bourbonnensis,15.9,5.2,4.0,20.4,70.0,14.0,10.79,Forest,2,1.0,Carnivore,Invertivore,Insessorial,3297.84
Terpsiphone cinnamomea,21.5,7.7,5.2,15.4,87.5,15.8,20.4,Forest,1,1.0,Carnivore,Invertivore,Insessorial,109426.27
Terpsiphone corvina,19.8,6.7,4.2,18.8,88.1,17.2,18.0,Forest,2,1.0,Carnivore,Invertivore,Insessorial,15.5
Terpsiphone cyanescens,23.5,8.3,6.0,17.4,90.6,15.7,24.64,Forest,1,1.0,Carnivore,Invertivore,Insessorial,8149.54
Terpsiphone floris,21.4,7.8,6.4,16.9,91.3,18.3,19.23,Woodland,2,2.0,Carnivore,Invertivore,Insessorial,44831.28
Terpsiphone incei,21.4,7.8,6.4,16.9,91.3,18.3,19.23,Woodland,2,2.0,Carnivore,Invertivore,Insessorial,4046737.55
Terpsiphone mutata,16.6,5.9,4.1,15.4,80.4,15.3,13.19,Forest,2,1.0,Carnivore,Invertivore,Insessorial,592893.86
Terpsiphone paradisi,24.9,7.8,5.9,18.0,95.0,18.3,19.23,Woodland,2,2.0,Carnivore,Invertivore,Insessorial,3076941.41
Terpsiphone rufiventer,17.7,6.0,4.9,15.9,75.9,12.5,15.1,Forest,1,1.0,Carnivore,Invertivore,Insessorial,4275150.97
Terpsiphone rufocinerea,18.1,6.4,4.4,15.3,73.9,12.1,15.4,Shrubland,1,1.0,Carnivore,Invertivore,Insessorial,444393.52
Terpsiphone unirufa,21.5,7.7,5.2,15.4,87.5,15.8,20.4,Forest,1,1.0,Carnivore,Invertivore,Insessorial,144281.29
Terpsiphone viridis,17.9,5.9,4.7,15.4,79.4,15.1,13.23,Woodland,2,1.0,Carnivore,Invertivore,Insessorial,14483913.96
Trochocercus bivittatus,16.1,4.2,2.8,16.7,67.8,9.5,10.2,Forest,1,1.0,Carnivore,Invertivore,Insessorial,1221756.89
Trochocercus cyanomelas,12.5,4.2,2.8,16.8,66.8,9.9,10.2,Forest,1,1.0,Carnivore,Invertivore,Insessorial,179874.79
Trochocercus nitens,14.7,5.4,3.8,16.0,64.7,6.8,11.8,Forest,1,1.0,Carnivore,Invertivore,Insessorial,3680877.59
Amaurocichla bocagii,19.1,3.9,3.8,23.9,63.0,6.9,7.0,Forest,1,1.0,Carnivore,Invertivore,Terrestrial,340.89
Anthus antarcticus,16.1,3.2,3.5,23.6,81.8,17.1,36.1,Grassland,3,1.0,Carnivore,Invertivore,Terrestrial,608.33
Anthus berthelotii,14.3,2.8,3.1,21.5,72.2,16.6,15.86,Rock,2,1.0,Carnivore,Invertivore,Terrestrial,8283.44
Anthus bogotensis,15.8,3.3,4.1,22.8,79.2,15.2,25.1,Grassland,3,1.0,Omnivore,Invertivore,Terrestrial,336033.74
Anthus brachyurus,12.1,3.0,3.2,16.6,63.1,12.6,15.3,Grassland,3,1.0,Carnivore,Invertivore,Terrestrial,1510202.74
Anthus caffer,13.2,3.3,3.8,17.9,71.1,14.5,16.8,Grassland,2,1.0,Carnivore,Invertivore,Terrestrial,777646.72
Anthus campestris,16.1,3.5,3.9,24.7,91.2,26.1,23.0,Grassland,3,3.0,Carnivore,Invertivore,Terrestrial,11176674.59
Anthus cervinus,14.1,3.0,3.0,21.7,83.3,22.9,20.9,Grassland,3,3.0,Carnivore,Invertivore,Terrestrial,3787889.02
Anthus chacoensis,13.5,2.8,3.0,17.0,64.5,15.4,12.6,Grassland,3,1.0,Carnivore,Invertivore,Terrestrial,621127.8
Anthus cinnamomeus,16.5,4.0,4.2,26.2,86.8,21.3,32.17,Grassland,3,3.0,Carnivore,Invertivore,Terrestrial,9825233.85
Anthus correndera,14.8,3.4,3.9,23.4,74.3,16.0,20.9,Grassland,3,1.0,Carnivore,Invertivore,Terrestrial,3686700.66
Anthus crenatus,19.8,3.5,4.5,27.5,84.3,16.4,30.7,Grassland,3,1.0,Carnivore,Invertivore,Terrestrial,343685.27
Anthus furcatus,13.5,3.6,4.0,20.5,74.8,20.9,20.06,Grassland,3,1.0,Carnivore,Invertivore,Terrestrial,1987553.38
Anthus godlewskii,15.0,3.5,3.8,25.5,89.8,23.1,25.34,Rock,3,3.0,Carnivore,Invertivore,Terrestrial,2405877.03
Anthus gustavi,15.4,3.4,3.7,22.2,80.5,25.0,19.8,Shrubland,3,3.0,Carnivore,Invertivore,Terrestrial,4257344.47
Anthus gutturalis,17.7,3.8,4.1,28.9,96.3,19.8,36.3,Grassland,3,1.0,Omnivore,Invertivore,Terrestrial,34559.91
Anthus hellmayri,14.6,3.5,3.8,22.4,76.2,14.1,18.61,Grassland,3,1.0,Carnivore,Invertivore,Terrestrial,1204389.51
Anthus hodgsoni,14.1,3.4,3.4,20.2,81.0,20.8,21.3,Grassland,3,3.0,Carnivore,Invertivore,Terrestrial,14109130.12
