Species1,Beak.Length_Culmen,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Range.Size
Edolisoma holopolium,24.6,7.3,6.9,21.8,111.0,25.9,48.9,Forest,1,1.0,Carnivore,Invertivore,Insessorial,24872.86
Edolisoma incertum,24.9,7.9,7.6,23.5,113.2,31.2,58.89,Forest,1,1.0,Carnivore,Invertivore,Insessorial,348235.08
Edolisoma insperatum,23.6,7.7,7.3,25.4,106.7,27.1,60.92,Shrubland,2,1.0,Carnivore,Invertivore,Insessorial,356.28
Edolisoma melas,24.9,7.4,7.1,23.2,119.0,24.3,59.39,Forest,1,1.0,Carnivore,Invertivore,Insessorial,592908.62
Edolisoma meyerii,27.2,7.9,7.9,24.6,128.1,41.2,60.92,Shrubland,2,1.0,Carnivore,Invertivore,Insessorial,2925.48
Edolisoma mindanense,24.6,7.8,7.4,23.1,115.6,29.1,58.7,Forest,1,1.0,Carnivore,Invertivore,Insessorial,234173.68
Edolisoma monacha,21.6,7.4,6.2,24.0,96.8,23.1,60.92,Shrubland,2,1.0,Carnivore,Invertivore,Insessorial,445.04
Edolisoma montanum,22.7,6.4,6.7,26.2,128.8,41.1,79.22,Forest,1,1.0,Herbivore,Frugivore,Insessorial,289775.96
Edolisoma morio,23.6,7.3,6.9,22.6,112.9,31.3,58.5,Forest,1,1.0,Carnivore,Invertivore,Insessorial,172301.98
Edolisoma nesiotis,25.0,8.8,8.1,27.1,113.5,26.2,60.92,Shrubland,2,1.0,Carnivore,Invertivore,Insessorial,97.93
Edolisoma obiense,27.2,7.9,7.9,24.6,128.1,41.2,60.92,Shrubland,2,1.0,Carnivore,Invertivore,Insessorial,5057.77
Edolisoma ostentum,29.7,9.2,9.2,24.2,133.8,33.0,67.96,Forest,1,1.0,Carnivore,Invertivore,Insessorial,23404.52
Edolisoma parvulum,27.5,9.1,9.3,24.6,147.0,43.7,67.96,Forest,1,1.0,Carnivore,Invertivore,Insessorial,16787.04
Edolisoma pygmaeum,24.6,7.3,6.9,21.8,111.0,25.9,60.92,Shrubland,2,1.0,Carnivore,Invertivore,Insessorial,3522.91
Edolisoma remotum,26.7,7.4,7.8,24.5,123.9,34.3,60.92,Shrubland,2,1.0,Carnivore,Invertivore,Insessorial,80624.46
Edolisoma rostratum,27.2,7.9,7.9,24.6,128.1,41.2,60.92,Shrubland,2,1.0,Carnivore,Invertivore,Insessorial,294.51
Edolisoma salomonis,28.8,8.9,8.7,26.6,118.7,30.7,60.92,Shrubland,2,1.0,Carnivore,Invertivore,Insessorial,3338.61
Edolisoma schisticeps,22.4,6.8,6.8,21.7,111.0,30.9,52.8,Forest,1,1.0,Herbivore,Frugivore,Insessorial,166507.11
Edolisoma sula,25.4,7.1,7.8,23.4,118.0,32.5,67.96,Forest,2,1.0,Carnivore,Invertivore,Insessorial,4678.13
Edolisoma tenuirostre,27.2,7.9,7.9,24.6,128.1,41.2,60.92,Shrubland,2,1.0,Carnivore,Invertivore,Insessorial,2156165.11
Lalage atrovirens,17.8,5.0,4.9,19.9,96.4,25.8,33.0,Forest,2,1.0,Omnivore,Frugivore,Insessorial,296184.73
Lalage aurea,17.0,5.2,4.8,19.0,94.2,23.5,32.0,Forest,2,1.0,Carnivore,Invertivore,Insessorial,25487.73
Lalage conjuncta,14.6,4.2,4.5,20.0,91.5,23.2,29.25,Forest,1,1.0,Carnivore,Invertivore,Insessorial,340.73
Lalage fimbriata,19.1,6.3,5.2,19.3,95.9,24.3,29.3,Forest,1,1.0,Carnivore,Invertivore,Insessorial,1316199.59
Lalage leucomela,18.5,5.0,4.9,21.3,97.8,26.0,29.25,Forest,1,1.0,Carnivore,Invertivore,Insessorial,1258230.14
Lalage leucoptera,16.1,4.7,4.9,22.9,101.0,24.4,39.4,Forest,2,1.0,Omnivore,Frugivore,Insessorial,2526.5
Lalage leucopyga,18.4,5.4,4.5,24.2,84.6,22.1,24.3,Forest,1,1.0,Carnivore,Invertivore,Insessorial,34357.57
Lalage leucopygialis,18.0,5.3,5.2,19.8,91.0,24.5,24.3,Woodland,2,1.0,Carnivore,Invertivore,Insessorial,142638.67
Lalage maculosa,18.9,5.2,5.0,23.6,92.7,26.5,30.3,Shrubland,1,1.0,Carnivore,Invertivore,Insessorial,30893.91
Lalage melanoleuca,23.3,6.4,6.1,24.1,111.5,30.4,46.8,Forest,1,1.0,Carnivore,Invertivore,Insessorial,104068.69
Lalage melanoptera,19.3,5.7,5.1,20.8,100.2,27.1,29.39,Forest,2,1.0,Carnivore,Invertivore,Insessorial,993885.08
Lalage melaschistos,21.4,6.6,6.0,22.5,117.9,33.0,43.0,Forest,1,1.0,Carnivore,Invertivore,Insessorial,4751722.92
Lalage minor,23.3,6.4,6.1,24.1,111.5,30.4,46.8,Forest,1,1.0,Carnivore,Invertivore,Insessorial,106732.13
Lalage moesta,18.1,5.6,4.9,24.5,95.4,23.3,29.52,Forest,2,1.0,Omnivore,Frugivore,Insessorial,4371.57
Lalage newtoni,19.5,5.7,6.3,24.3,97.6,21.2,42.9,Forest,1,1.0,Carnivore,Invertivore,Insessorial,28.71
Lalage nigra,18.2,5.6,4.9,20.3,88.5,22.0,28.4,Shrubland,2,1.0,Carnivore,Invertivore,Insessorial,1519309.4
Lalage polioptera,19.7,6.1,5.4,20.8,110.9,30.3,35.8,Forest,2,1.0,Carnivore,Invertivore,Insessorial,932555.61
Lalage sharpei,18.8,4.8,4.2,22.9,81.5,21.4,28.63,Forest,1,1.0,Carnivore,Invertivore,Insessorial,2877.15
Lalage sueurii,18.9,4.9,4.4,21.0,92.1,26.2,26.0,Shrubland,2,1.0,Carnivore,Invertivore,Generalist,259989.37
Lalage tricolor,18.8,4.6,4.2,21.1,98.1,31.5,25.0,Woodland,3,1.0,Carnivore,Invertivore,Insessorial,7633376.41
Lalage typica,22.3,7.1,7.2,27.0,106.0,24.1,42.9,Forest,1,1.0,Carnivore,Invertivore,Insessorial,116.81
Lobotos lobatus,17.3,5.3,5.6,19.3,95.6,21.2,33.1,Forest,1,1.0,Carnivore,Invertivore,Insessorial,343073.96
Lobotos oriolinus,17.1,5.7,5.0,19.1,97.3,20.8,33.1,Forest,1,1.0,Carnivore,Invertivore,Insessorial,440279.03
Malindangia mcgregori,21.9,7.0,6.3,23.2,102.9,22.4,42.6,Forest,1,1.0,Carnivore,Invertivore,Insessorial,13707.89
Pericrocotus albifrons,13.2,4.4,3.4,15.1,67.7,15.3,10.8,Forest,3,1.0,Carnivore,Invertivore,Insessorial,161614.31
Pericrocotus brevirostris,15.0,4.7,4.1,16.0,87.9,25.8,16.49,Woodland,1,1.0,Carnivore,Invertivore,Insessorial,2416801.64
Pericrocotus cantonensis,16.2,5.8,4.9,15.2,88.4,30.8,16.26,Forest,1,3.0,Carnivore,Invertivore,Insessorial,1995739.61
Pericrocotus cinnamomeus,13.0,4.0,3.5,15.3,67.2,17.4,8.6,Shrubland,2,2.0,Carnivore,Invertivore,Insessorial,4793425.28
Pericrocotus divaricatus,17.5,6.0,5.1,15.8,95.7,38.9,24.6,Forest,2,3.0,Carnivore,Invertivore,Insessorial,947644.87
Pericrocotus erythropygius,12.3,4.6,3.4,14.5,68.8,15.6,10.8,Forest,3,1.0,Carnivore,Invertivore,Insessorial,1571440.41
Pericrocotus ethologus,15.6,4.6,4.1,16.6,91.6,27.9,18.97,Forest,1,3.0,Carnivore,Invertivore,Insessorial,3896355.72
Pericrocotus flammeus,18.7,6.1,5.5,17.0,92.1,25.9,23.3,Forest,1,1.0,Carnivore,Invertivore,Insessorial,6349411.65
Pericrocotus igneus,14.7,4.5,3.9,15.8,72.5,19.1,15.0,Forest,2,1.0,Carnivore,Invertivore,Insessorial,1266299.03
Pericrocotus lansbergei,14.9,4.8,4.0,14.9,73.1,17.3,16.26,Forest,3,1.0,Carnivore,Invertivore,Insessorial,30021.14
Pericrocotus miniatus,14.8,4.5,4.2,15.8,81.7,21.9,16.26,Forest,1,1.0,Carnivore,Invertivore,Insessorial,155206.18
Pericrocotus montanus,13.6,4.4,4.1,14.7,83.2,23.5,14.5,Forest,2,1.0,Carnivore,Invertivore,Insessorial,603822.45
Pericrocotus roseus,16.5,5.8,5.0,15.4,87.9,28.1,19.2,Forest,2,1.0,Carnivore,Invertivore,Insessorial,1556822.15
Pericrocotus solaris,13.6,4.4,4.1,14.7,83.2,23.5,14.5,Forest,2,1.0,Carnivore,Invertivore,Insessorial,2902202.9
Pericrocotus tegimae,16.9,6.3,5.0,16.5,86.0,27.2,21.0,Forest,2,1.0,Carnivore,Invertivore,Insessorial,58093.74
Amaurospiza moesta,12.5,5.8,6.8,17.7,61.6,9.1,13.6,Forest,1,1.0,Herbivore,Granivore,Insessorial,864091.67
Amaurospiza relicta,12.5,5.8,6.8,17.7,61.6,9.1,13.1,Forest,2,1.0,Herbivore,Granivore,Insessorial,112893.36
Cardinalis cardinalis,17.6,9.3,12.3,24.5,93.5,14.2,42.64,Shrubland,2,1.0,Herbivore,Omnivore,Insessorial,5834572.06
Cardinalis phoeniceus,19.5,9.3,13.6,23.4,84.4,13.0,35.0,Shrubland,2,1.0,Omnivore,Omnivore,Insessorial,69681.59
Cardinalis sinuatus,15.3,7.3,12.6,24.4,93.3,13.9,35.19,Shrubland,2,1.0,Herbivore,Omnivore,Generalist,1519386.56
Caryothraustes canadensis,17.4,8.5,11.2,20.5,90.8,15.8,34.5,Shrubland,2,1.0,Omnivore,Omnivore,Insessorial,2650244.99
Caryothraustes celaeno,20.1,8.3,11.3,22.9,101.3,14.8,60.0,Woodland,2,1.0,Herbivore,Omnivore,Insessorial,127727.17
Caryothraustes erythromelas,21.6,10.1,13.9,20.1,99.2,18.1,48.0,Forest,1,1.0,Omnivore,Omnivore,Insessorial,890214.54
Caryothraustes poliogaster,18.3,8.3,10.5,21.5,92.9,15.9,41.8,Forest,1,1.0,Herbivore,Frugivore,Insessorial,317013.58
Cyanocompsa parellina,12.4,5.5,7.8,18.1,68.0,9.1,15.64,Woodland,2,1.0,Herbivore,Frugivore,Insessorial,577372.06
Cyanoloxia brissonii,15.2,7.7,11.6,20.1,75.6,11.4,27.5,Forest,2,1.0,Herbivore,Frugivore,Insessorial,5851913.65
Cyanoloxia cyanoides,19.6,10.2,13.9,21.1,79.6,10.8,32.5,Forest,1,1.0,Herbivore,Granivore,Insessorial,877385.2
Cyanoloxia glaucocaerulea,12.3,5.9,8.8,18.7,71.7,11.9,18.2,Forest,2,2.0,Omnivore,Omnivore,Insessorial,683511.99
Cyanoloxia rothschildii,19.1,9.3,12.3,19.5,77.6,11.8,32.5,Forest,1,1.0,Herbivore,Granivore,Insessorial,6599899.33
Granatellus francescae,12.8,4.9,4.8,21.0,65.0,8.8,10.8,Forest,1,1.0,Carnivore,Invertivore,Insessorial,243.16
Granatellus paraensis,12.3,4.0,4.4,17.0,53.5,7.2,11.2,Forest,1,1.0,Carnivore,Invertivore,Insessorial,680197.71
Granatellus pelzelni,12.3,4.3,4.5,17.5,54.2,7.0,11.2,Forest,1,1.0,Carnivore,Invertivore,Insessorial,3464920.45
Granatellus sallaei,13.3,3.9,4.7,18.7,59.5,8.0,9.9,Forest,1,1.0,Carnivore,Invertivore,Generalist,315515.73
Granatellus venustus,14.4,3.8,4.8,19.0,60.8,7.4,10.8,Forest,1,1.0,Carnivore,Invertivore,Insessorial,171793.06
Habia atrimaxillaris,21.6,6.8,8.3,23.9,93.5,14.4,48.9,Forest,2,1.0,Carnivore,Invertivore,Insessorial,1029.7
Habia carmioli,23.0,8.2,8.9,22.5,86.6,15.2,37.6,Forest,1,1.0,Carnivore,Invertivore,Insessorial,93291.5
Habia cristata,21.0,7.0,8.8,24.2,96.6,15.1,46.5,Forest,1,1.0,Carnivore,Invertivore,Insessorial,54054.46
Habia frenata,20.4,8.0,9.3,22.7,87.8,15.3,37.78,Forest,1,1.0,Carnivore,Invertivore,Insessorial,108990.05
Habia fuscicauda,20.2,7.3,8.4,25.2,95.7,12.9,36.84,Forest,2,1.0,Carnivore,Invertivore,Insessorial,581686.92
Habia gutturalis,19.6,7.5,8.4,24.9,96.2,15.6,36.4,Forest,2,1.0,Carnivore,Invertivore,Insessorial,95132.69
Habia olivacea,21.0,8.2,9.2,22.3,90.5,16.6,39.0,Forest,1,1.0,Carnivore,Invertivore,Insessorial,92811.92
Habia rubica,18.1,6.9,8.3,23.7,92.5,15.9,32.46,Forest,1,1.0,Carnivore,Invertivore,Insessorial,5706719.88
Habia stolzmanni,21.9,8.3,9.3,23.2,89.6,15.6,38.8,Forest,1,1.0,Herbivore,Frugivore,Insessorial,50027.82
Passerina amoena,11.8,4.8,6.1,16.8,70.4,16.5,15.49,Shrubland,2,3.0,Herbivore,Omnivore,Insessorial,2824052.43
Passerina caerulea,17.0,7.4,10.9,20.3,86.1,19.9,27.39,Forest,2,3.0,Carnivore,Invertivore,Generalist,5300267.2
Passerina ciris,11.7,4.9,6.5,18.8,69.6,15.0,15.54,Shrubland,2,3.0,Herbivore,Granivore,Terrestrial,1410893.89
Passerina cyanea,11.7,5.1,6.2,17.2,64.8,14.7,14.69,Shrubland,2,3.0,Herbivore,Granivore,Terrestrial,5700834.65
Passerina leclancherii,11.7,5.3,6.7,17.6,66.6,10.0,14.0,Woodland,2,1.0,Herbivore,Granivore,Terrestrial,140628.19
Passerina rositae,15.0,5.9,7.8,16.6,69.9,11.6,20.0,Forest,1,1.0,Herbivore,Granivore,Terrestrial,6979.8
Passerina versicolor,11.2,4.8,6.3,17.5,67.7,12.9,12.89,Shrubland,2,1.0,Omnivore,Omnivore,Generalist,1390079.55
Pheucticus aureoventris,22.5,11.1,15.7,25.4,110.4,24.5,49.0,Forest,2,1.0,Herbivore,Omnivore,Insessorial,810017.32
Pheucticus chrysogaster,22.8,10.5,15.2,25.0,106.5,22.4,55.8,Forest,2,1.0,Omnivore,Omnivore,Insessorial,537171.3
Pheucticus chrysopeplus,23.0,11.4,16.2,24.9,111.2,23.0,77.6,Forest,2,2.0,Herbivore,Frugivore,Insessorial,321297.58
Pheucticus ludovicianus,18.6,8.8,11.8,21.6,101.3,27.4,42.0,Forest,2,3.0,Herbivore,Omnivore,Insessorial,3980871.24
Pheucticus melanocephalus,19.1,9.1,12.1,22.9,100.5,24.3,47.13,Forest,2,3.0,Carnivore,Invertivore,Insessorial,4524419.42
Pheucticus tibialis,21.9,11.2,16.4,23.6,108.7,25.1,62.3,Forest,2,2.0,Herbivore,Omnivore,Insessorial,19605.63
Piranga bidentata,20.7,7.6,8.9,21.8,97.1,22.5,36.07,Forest,1,2.0,Omnivore,Invertivore,Insessorial,417994.02
Piranga erythrocephala,14.2,6.2,7.6,18.8,71.2,12.7,21.8,Forest,1,2.0,Omnivore,Omnivore,Insessorial,256230.43
Piranga flava,19.2,8.5,9.5,21.0,93.6,22.8,37.7,Forest,2,2.0,Carnivore,Invertivore,Insessorial,5776535.17
Piranga hepatica,19.8,8.2,9.2,21.0,95.4,22.5,32.3,Forest,2,2.0,Carnivore,Invertivore,Insessorial,2230687.49
Piranga leucoptera,15.8,6.7,7.3,18.3,72.5,14.8,16.0,Forest,1,1.0,Herbivore,Frugivore,Insessorial,567150.48
Piranga ludoviciana,18.5,6.3,7.3,20.1,94.8,27.2,28.1,Forest,1,3.0,Carnivore,Invertivore,Insessorial,3662121.88
Piranga olivacea,18.8,7.2,8.2,19.4,92.6,29.5,28.2,Forest,1,3.0,Carnivore,Invertivore,Insessorial,2605301.09
Piranga roseogularis,16.9,7.9,8.6,20.4,78.6,14.2,24.0,Shrubland,2,1.0,Carnivore,Invertivore,Insessorial,105691.58
Piranga rubra,19.2,8.4,9.0,19.5,92.0,27.9,29.13,Forest,1,3.0,Carnivore,Invertivore,Insessorial,3269576.69
Piranga rubriceps,17.6,7.8,8.3,22.2,100.1,21.6,35.9,Forest,1,1.0,Omnivore,Invertivore,Insessorial,80398.64
Spiza americana,15.1,5.5,7.5,22.3,77.9,20.3,26.18,Grassland,3,3.0,Omnivore,Omnivore,Terrestrial,3462252.57
Certhia americana,16.2,2.0,2.8,14.2,63.6,15.3,8.1,Forest,1,1.0,Carnivore,Invertivore,Insessorial,6543644.5
Certhia brachydactyla,18.7,2.0,2.5,14.9,62.1,11.0,8.2,Forest,1,1.0,Carnivore,Invertivore,Insessorial,3199552.33
Certhia discolor,17.6,2.4,2.6,16.8,68.8,13.2,10.4,Forest,1,1.0,Carnivore,Invertivore,Insessorial,112131.14
Certhia familiaris,18.1,2.0,2.6,14.6,64.5,12.4,9.0,Forest,1,1.0,Omnivore,Invertivore,Insessorial,15914424.48
Certhia himalayana,20.1,2.2,2.6,15.2,68.7,13.7,8.8,Forest,1,1.0,Carnivore,Invertivore,Insessorial,690802.93
Certhia hodgsoni,18.6,2.0,2.6,15.3,63.4,10.3,9.0,Forest,1,1.0,Carnivore,Invertivore,Insessorial,539884.48
Certhia manipurensis,20.1,2.5,2.7,15.8,67.5,10.6,10.4,Forest,1,1.0,Carnivore,Invertivore,Insessorial,121319.92
Certhia nipalensis,15.2,2.4,2.5,19.4,69.8,12.9,11.1,Forest,1,1.0,Carnivore,Invertivore,Insessorial,88988.34
Certhia tianquanensis,17.8,2.8,2.7,13.7,64.5,11.2,9.0,Forest,1,1.0,Omnivore,Invertivore,Insessorial,38536.44
Chaetops aurantius,21.2,3.8,4.4,36.3,88.0,10.6,54.1,Shrubland,3,1.0,Carnivore,Invertivore,Terrestrial,103523.76
Chaetops frenatus,24.2,3.7,4.9,34.4,87.3,10.3,54.99,Rock,3,1.0,Carnivore,Invertivore,Terrestrial,66553.02
Chloropsis aurifrons,23.7,4.0,5.0,19.8,94.4,18.7,32.31,Forest,1,1.0,Omnivore,Omnivore,Insessorial,3471632.85
Chloropsis cochinchinensis,20.8,4.6,5.4,17.9,80.2,14.2,24.5,Forest,1,1.0,Omnivore,Omnivore,Insessorial,78694.2
Chloropsis cyanopogon,18.7,4.2,5.0,18.9,81.9,14.9,22.0,Forest,1,1.0,Omnivore,Omnivore,Insessorial,1210976.46
Chloropsis flavipennis,22.9,5.0,5.7,18.3,90.7,13.0,35.4,Forest,1,1.0,Omnivore,Omnivore,Insessorial,113738.4
Chloropsis hardwickii,24.7,4.6,5.4,17.6,93.6,18.1,32.29,Shrubland,1,3.0,Omnivore,Omnivore,Insessorial,902456.73
Chloropsis jerdoni,22.0,4.4,5.0,18.8,84.6,13.0,24.5,Forest,1,1.0,Omnivore,Omnivore,Insessorial,1884898.81
Chloropsis kinabaluensis,20.9,4.8,6.1,19.9,92.0,17.1,24.5,Forest,1,1.0,Omnivore,Omnivore,Insessorial,57155.93
Chloropsis lazulina,24.7,4.6,5.4,17.6,93.6,18.1,32.29,Shrubland,1,3.0,Omnivore,Omnivore,Insessorial,682009.15
Chloropsis media,20.8,3.8,5.3,18.6,88.5,17.2,32.31,Forest,1,1.0,Omnivore,Omnivore,Insessorial,53744.78
Chloropsis moluccensis,19.3,3.6,4.8,17.4,79.9,12.1,24.5,Forest,1,1.0,Omnivore,Omnivore,Insessorial,2537741.55
Chloropsis palawanensis,21.6,4.4,5.6,19.5,87.0,11.4,30.31,Forest,1,1.0,Omnivore,Omnivore,Insessorial,13485.04
Chloropsis sonnerati,24.7,5.0,6.4,21.2,100.6,21.1,45.8,Forest,1,1.0,Omnivore,Omnivore,Insessorial,1386747.46
Chloropsis venusta,16.0,3.3,4.3,16.0,70.2,10.3,22.0,Forest,1,1.0,Omnivore,Omnivore,Insessorial,120012.67
Cinclus cinclus,22.1,3.4,4.4,28.4,88.9,24.5,61.47,Riverine,3,1.0,Carnivore,Aquatic predator,Generalist,8499590.13
Cinclus leucocephalus,18.3,3.4,4.2,28.7,85.6,18.2,44.0,Riverine,3,1.0,Carnivore,Aquatic predator,Generalist,619987.76
Cinclus mexicanus,21.6,3.4,4.8,29.8,89.1,23.6,56.68,Riverine,3,1.0,Carnivore,Aquatic predator,Generalist,4910744.04
Cinclus pallasii,24.1,3.7,5.2,30.1,102.4,27.7,76.0,Riverine,3,1.0,Carnivore,Aquatic predator,Generalist,9425465.17
Cinclus schulzii,17.9,3.0,3.8,27.4,75.6,14.8,37.6,Riverine,3,1.0,Carnivore,Aquatic predator,Generalist,113020.82
Cinclosoma ajax,25.9,4.8,5.3,32.9,99.0,19.6,65.27,Forest,1,1.0,Carnivore,Invertivore,Terrestrial,78596.6
Cinclosoma alisteri,17.2,4.0,4.3,26.6,82.0,17.8,54.9,Shrubland,2,1.0,Carnivore,Invertivore,Terrestrial,65802.53
Cinclosoma castaneothorax,19.1,4.6,5.0,28.8,94.4,23.5,62.42,Shrubland,2,1.0,Carnivore,Invertivore,Terrestrial,488478.66
Cinclosoma castanotum,21.4,4.3,5.0,31.9,100.1,24.1,73.33,Woodland,2,1.0,Carnivore,Invertivore,Terrestrial,2823366.52
Cinclosoma cinnamomeum,18.9,3.9,4.7,27.2,86.6,17.8,56.14,Shrubland,2,1.0,Carnivore,Invertivore,Terrestrial,764829.56
Cinclosoma marginatum,19.1,4.6,5.0,28.8,94.4,23.5,60.8,Shrubland,2,1.0,Carnivore,Invertivore,Terrestrial,1461523.74
Cinclosoma punctatum,22.2,4.6,5.5,33.1,110.3,24.0,113.31,Forest,2,1.0,Carnivore,Invertivore,Terrestrial,564852.46
Ptilorrhoa caerulescens,23.6,4.7,5.4,32.2,88.1,9.1,49.0,Forest,1,1.0,Carnivore,Invertivore,Terrestrial,399425.35
Ptilorrhoa castanonota,27.9,5.2,6.1,34.6,93.0,10.6,69.7,Forest,1,2.0,Carnivore,Invertivore,Terrestrial,246242.69
Ptilorrhoa geislerorum,25.7,5.0,6.0,32.7,90.4,9.4,49.0,Forest,1,1.0,Carnivore,Invertivore,Terrestrial,30287.43
Ptilorrhoa leucosticta,22.8,4.4,4.9,32.1,79.7,4.8,49.2,Forest,1,1.0,Carnivore,Invertivore,Terrestrial,235330.78
Apalis alticola,13.2,2.8,2.7,18.8,55.4,6.8,12.1,Forest,1,1.0,Carnivore,Invertivore,Insessorial,618220.78
Apalis argentea,14.1,3.1,3.0,16.6,49.5,5.1,9.3,Forest,1,1.0,Carnivore,Invertivore,Insessorial,41176.66
Apalis bamendae,12.7,2.6,2.8,17.0,50.1,5.0,9.16,Forest,2,1.0,Carnivore,Invertivore,Insessorial,6480.95
Apalis binotata,12.4,2.8,2.7,17.8,46.2,2.7,8.2,Woodland,1,1.0,Carnivore,Invertivore,Insessorial,144782.97
Apalis chapini,12.8,2.4,2.6,17.4,48.1,4.7,8.8,Forest,1,1.0,Carnivore,Invertivore,Insessorial,57820.78
Apalis chariessa,11.8,3.0,2.5,17.1,51.5,5.1,9.16,Forest,1,1.0,Carnivore,Invertivore,Insessorial,19597.73
Apalis chirindensis,12.2,2.9,2.5,17.4,47.9,4.0,8.6,Forest,1,1.0,Carnivore,Invertivore,Insessorial,61830.35
Apalis cinerea,13.3,2.7,2.7,19.0,54.6,4.9,9.88,Forest,1,1.0,Carnivore,Invertivore,Insessorial,435159.52
Apalis flavida,13.6,2.8,2.6,18.9,49.6,4.5,8.19,Woodland,2,1.0,Carnivore,Invertivore,Insessorial,4880471.31
Apalis flavigularis,14.6,2.5,2.8,21.4,50.5,5.2,11.08,Forest,2,1.0,Carnivore,Invertivore,Insessorial,513.16
Apalis flavocincta,13.6,3.0,2.8,19.4,57.0,4.5,8.19,Woodland,2,1.0,Carnivore,Invertivore,Insessorial,910946.13
Apalis fuscigularis,13.8,2.8,2.7,20.1,52.5,5.0,11.0,Forest,1,1.0,Carnivore,Invertivore,Insessorial,6.53
Apalis goslingi,13.2,2.5,2.6,18.9,45.0,5.0,8.2,Forest,2,1.0,Carnivore,Invertivore,Insessorial,777124.23
Apalis jacksoni,11.5,2.4,2.3,17.1,51.4,6.7,8.7,Forest,1,1.0,Carnivore,Invertivore,Insessorial,541008.1
Apalis kaboboensis,12.1,2.5,2.5,18.9,52.0,5.9,8.39,Forest,1,1.0,Carnivore,Invertivore,Insessorial,1585.04
Apalis karamojae,14.1,2.5,2.7,16.5,49.0,5.2,9.2,Shrubland,2,1.0,Carnivore,Invertivore,Insessorial,23145.5
Apalis lynesi,14.0,2.7,2.8,20.5,51.5,5.2,11.4,Forest,1,1.0,Carnivore,Invertivore,Insessorial,1334.93
Apalis melanocephala,14.2,2.9,3.0,17.6,48.7,5.3,8.8,Forest,1,1.0,Carnivore,Invertivore,Insessorial,375838.95
Apalis nigriceps,11.2,2.6,2.5,15.9,46.6,4.8,8.4,Forest,1,1.0,Carnivore,Invertivore,Insessorial,835771.19
Apalis personata,13.7,2.8,2.9,18.5,52.1,4.2,11.0,Forest,1,1.0,Carnivore,Invertivore,Insessorial,105591.89
Apalis porphyrolaema,12.4,2.6,2.6,17.9,51.3,5.0,8.39,Forest,1,1.0,Carnivore,Invertivore,Insessorial,147536.87
Apalis ruddi,10.4,3.4,3.0,20.3,46.0,3.9,9.69,Woodland,1,1.0,Carnivore,Invertivore,Insessorial,167381.68
Apalis rufogularis,13.7,3.0,2.8,17.0,47.1,4.5,8.34,Forest,1,1.0,Carnivore,Invertivore,Insessorial,2747284.94
Apalis sharpii,13.1,2.6,3.1,16.6,45.7,4.0,8.69,Forest,1,1.0,Carnivore,Invertivore,Insessorial,386331.11
Apalis thoracica,14.9,2.6,2.5,20.5,51.1,5.6,11.08,Forest,2,1.0,Carnivore,Invertivore,Insessorial,1229497.4
Artisornis metopias,14.5,2.7,2.3,21.8,46.7,4.0,8.4,Forest,1,1.0,Carnivore,Invertivore,Insessorial,68472.65
Artisornis moreaui,18.0,3.1,2.7,17.9,43.6,4.8,9.2,Forest,1,1.0,Carnivore,Invertivore,Insessorial,396.94
Artisornis sousae,16.5,2.9,2.7,17.9,48.5,4.8,9.2,Forest,1,1.0,Carnivore,Invertivore,Insessorial,594.04
Bathmocercus cerviniventris,14.4,3.6,4.0,23.3,57.1,5.0,15.8,Forest,1,1.0,Carnivore,Invertivore,Insessorial,84168.02
Bathmocercus rufus,15.7,3.3,3.7,25.0,56.7,4.5,15.4,Forest,1,1.0,Carnivore,Invertivore,Insessorial,638060.54
Calamonastes fasciolatus,14.6,2.7,2.8,21.4,59.0,4.3,13.1,Woodland,2,1.0,Carnivore,Invertivore,Insessorial,1422725.53
Calamonastes simplex,16.3,2.8,2.9,21.1,59.1,4.3,12.0,Woodland,3,1.0,Carnivore,Invertivore,Insessorial,1535343.54
Calamonastes stierlingi,13.7,2.6,3.0,19.8,60.6,6.2,13.0,Woodland,2,1.0,Carnivore,Invertivore,Insessorial,1622532.5
Calamonastes undosus,14.3,2.7,3.0,20.4,60.9,4.7,13.0,Woodland,2,1.0,Carnivore,Invertivore,Insessorial,1613961.16
Camaroptera brachyura,14.4,3.0,2.9,21.4,52.8,4.2,9.74,Forest,1,1.0,Carnivore,Invertivore,Insessorial,15929835.83
Camaroptera chloronota,14.5,3.3,2.9,21.7,52.0,3.8,11.4,Forest,1,1.0,Carnivore,Invertivore,Insessorial,1659026.0
Camaroptera harterti,14.6,2.8,2.8,21.0,51.1,2.5,9.74,Forest,1,1.0,Carnivore,Invertivore,Insessorial,155382.91
Camaroptera superciliaris,15.7,3.4,2.9,19.2,48.6,4.6,9.7,Forest,1,1.0,Carnivore,Invertivore,Insessorial,3154212.79
Camaroptera toroensis,14.5,3.3,2.9,21.7,52.0,3.8,11.4,Forest,1,1.0,Carnivore,Invertivore,Insessorial,1248959.24
Cisticola aberdare,16.0,3.1,3.8,23.6,63.1,7.4,24.0,Grassland,3,1.0,Carnivore,Invertivore,Generalist,1272.48
Cisticola aberrans,13.6,2.8,3.3,20.3,53.2,4.9,14.21,Rock,3,1.0,Carnivore,Invertivore,Generalist,2482236.37
