species,iucn_categoria
Myiopagis caniceps,LC
Mimus dorsalis,LC
Myrmotherula sclateri,LC
Melanopareia torquata,LC
Asthenes urubambensis,NT
Grallaria sinaensis,
Notharchus hyperrhynchus,LC
Cacicus haemorrhous,LC
Polytmus theresiae,LC
Attagis gayi,LC
Leptotila megalura,LC
Chlorothraupis frenata,
Turdus haplochrous,NT
Hemitriccus minimus,LC
Manacus manacus,LC
Hylophilus thoracicus,LC
Lepidothrix coronata,LC
Hylocharis sapphirina,
Thraupis palmarum,
Schizoeaca helleri,
Terenura humeralis,
Aulacorhynchus derbianus,LC
Progne subis,LC
Calidris himantopus,NT
Schoeniophylax phryganophilus,LC
Buteogallus meridionalis,LC
Stilpnia nigrocincta,
Rhynchocyclus olivaceus,LC
Pionites leucogaster,VU
Pipra fasciicauda,LC
Microspingus erythrophrys,LC
Myiothlypis flaveola,LC
Pulsatrix melanota,LC
Chaetura cinereiventris,LC
Trogon melanurus,LC
Parabuteo unicinctus,LC
Philydor rufum,LC
Saltatricula atricollis,
Chlorestes cyanus,
Ara severus,LC
Phacellodomus sibilatrix,LC
Euphonia chrysopasta,LC
Electron platyrhynchum,LC
Uropsalis lyra,LC
Hylexetastes stresemanni,LC
Ornithion inerme,LC
Colaptes rivolii,LC
Pionus sordidus,LC
Alopochelidon fucata,LC
Bubo virginianus,LC
Cyanocorax yncas,LC
Lanio versicolor,LC
Phylloscartes ophthalmicus,
Cranioleuca curtata,LC
Opisthocomus hoazin,LC
Cyanocorax cristatellus,LC
Euphonia minuta,LC
Todirostrum cinereum,LC
Myrmotherula iheringi,LC
Conioptilon mcilhennyi,LC
Sporophila plumbea,LC
Xolmis velatus,LC
Herpetotheres cachinnans,LC
Crypturellus bartletti,LC
Poecilotriccus latirostris,LC
Campephilus rubricollis,LC
Hydropsalis maculicaudus,LC
Galbula leucogastra,LC
Celeus lugubris,LC
Amazona amazonica,LC
Percnostola lophotes,
Lathrotriccus euleri,LC
Asio stygius,LC
Micrastur mintoni,NT
Brotogeris sanctithomae,LC
Sclateria naevia,LC
Scytalopus zimmeri,LC
Syndactyla ucayalae,LC
Corythopis delalandi,LC
Turdus ignobilis,LC
Diopsittaca nobilis,LC
Dacnis cayana,LC
Nystalus obamai,
Cranioleuca vulpecula,LC
Geotrygon montana,LC
Crotophaga major,LC
Crypturellus variegatus,LC
Drymophila devillei,LC
Pionus menstruus,LC
Thamnophilus stictocephalus,LC
Pharomachrus antisianus,LC
Pteroglossus beauharnaisii,LC
Pauxi unicornis,
